MRBID,RIVERBASIN,AREA,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,MEAN,CLASS
6221,KIZILIRMAK,80863.95287233102,17.330898769399244,38.79934541178207,11.556544009822115,15.78726455294732,22.547856398118572,15.278017882567102,11.368992647466118,16.163372873938332,16.05408511616413,13.685443659119416,16.42661632109414,10.195155713024748,16.562133968049547,26.75383065099094,,17.750682712463128,SRD
6222,KOKEMAENJOKI,28620.89845832611,49.95106862207712,49.320745050782506,49.213721603075825,49.5208078496174,35.496649680649305,47.60709669588526,42.12621587830234,45.91168091024682,38.53313623522776,56.131393041543454,47.23247989237495,45.81860299938002,55.37845332335367,53.52178186419892,,47.55455954619396,SD
6223,KUBAN,52550.994951872664,17.976032775307395,37.91369173936083,20.840060911156645,20.58929601963943,30.572743209089953,24.781768619773253,29.514968648636103,36.21344786646731,22.46872557288435,19.710476716929236,21.70765625023434,24.997361945613022,29.923230581925445,31.135313465732125,,26.310341023053528,SRD
6224,KYMIJOKI,35119.914103664734,49.51519852773782,51.37537299764654,57.78164409986119,54.54786325560409,40.03986545800391,54.97926527306219,45.47515262827382,47.582228836762035,49.93057157524919,62.94015185643199,56.001789864358045,52.17637500857111,61.02462883860765,57.99527681781265,,52.954670359855875,SD
6225,LIMA (also LIMIA),2472.855308321363,0.0356482904751875,0.249762185466131,0.6779899749356477,0.106944871425563,2.6046784205520925,1.9986017430634735,0.856567600884366,1.106161808496422,2.2483080806992337,1.9264641850566804,5.389334682378093,1.5346689453672946,0.7137502870145835,0.1425931619007505,,1.39939101697968,SRD
6226,LOIRE,117033.53968048617,6.879257757668612,4.334668776083633,3.618163971530193,2.014487553840338,6.812654175241563,8.448956966386405,9.17837623632274,6.920233680511793,5.726498270007962,5.280849306534604,10.711785586526336,8.818410861743489,3.043442726872882,5.718453020546039,,6.250445634986899,SRD
6227,LULEALVEN,25128.112969871156,77.57232486646816,88.21237702501836,61.10941472757318,67.71432602890481,73.62400006041156,68.44446916633746,85.45531204692146,67.35415415119698,86.79868406764633,88.16025290032259,62.9832830406541,70.10662872825401,80.29949427243744,92.89510070285051,,76.4807015560712,SD
6228,MAAS (also MEUSE),32885.183605824874,12.17150277040774,8.064154389164257,7.87127834441701,4.968873348909315,10.320141125060172,19.02749461208511,10.538190756833425,11.369499700268708,9.359047059141869,8.941654425504835,18.199432760140756,15.826946805139425,9.881501071186968,4.701369007130272,,10.802934726813561,SRD
6229,MARITSA RIVER,52590.17763631561,9.08639582750508,13.680219425000914,10.270157330904745,8.047169890281442,9.77822355556216,10.901683149496748,11.867724114824147,12.21795226137473,4.431419563157241,10.24330881679004,13.110396257729954,18.38735968124537,12.797975121735211,15.122176321824414,,11.4244400941023,SRD
6230,MINO (also MINHO),16679.14497822606,4.0594782960046505,2.6574497244714896,4.516337722450043,2.7307208915511363,4.82484432399938,4.279738706412616,3.4387766275488407,4.934262419723111,5.902997150536007,5.8702505646657475,9.017377026266228,4.215179701871935,3.90348321694511,2.4174655938135197,,4.483454426161415,SRD
6231,MOTALA STROM,15203.388375516495,27.719489634184864,26.41097681909567,33.43280714345371,21.494369952613464,21.922802635444636,32.6640052048992,20.737644942449844,30.490039553184644,31.196510752004553,25.884386937864196,48.42313758020828,33.74368309046658,35.72294023879735,22.714010807786742,,29.46834323517526,SRD
6232,NARVA,56519.20311281413,45.246086283654655,56.96001462795631,59.22414228118991,51.8747414680212,43.95031483226065,49.10851292333303,38.28911013011308,46.136379016494715,36.91005059381833,48.91379369905172,56.3975365673905,38.09128251036649,54.85189857497244,44.74905854946491,,47.90735157557771,SD
6233,"NEMAN (also NEMUNAS, also NYOMAN)",92930.02218958084,37.65601931933548,48.722011572994184,36.77021594618812,28.581119023565687,36.42340929714605,48.736828151992626,37.35594117247818,35.742652576496404,26.665082084516488,31.898314419927186,50.32178245265431,28.82312377939688,31.511412820355684,29.04293616087501,,36.30363205556588,SD
6234,NESTOS (also MESTA),6363.4513937385855,16.679079563810664,22.02925222449184,20.782331344286057,17.621822480586005,20.19528459577292,23.788626231011342,21.77353047024302,26.069392088903697,12.87250723498065,18.403815979139168,24.976971819986893,26.36167600740416,18.360107627290997,27.816987330425157,,21.266527499880898,SRD
6235,NEVA,282735.21285127295,56.41677412932965,68.12178241818563,72.55030766589051,68.62041390238502,51.43432378356136,60.09818090851909,53.28415299500089,48.96584758627288,49.19028588639853,62.0194389971346,63.19356484138455,53.551053892675974,62.50750996403319,55.617084675133,,58.96933726042177,SD
6236,ODER,119242.7124388639,20.18134021637691,27.831978837994257,19.96303564382484,12.281885556078098,18.00329995461049,32.58522294403498,22.84458418335511,24.84940518978492,15.465864632526008,16.287725471085913,35.579994773570576,20.99239701733852,14.887220018175135,15.877834983133724,,21.25941353013496,SRD
6237,OLFUSA,5806.66145532682,65.99190165883307,90.36881369795618,43.5934457817152,72.96337970864822,64.39440152799806,55.44470152619117,57.353034221379545,57.791747767195055,63.90287967785917,65.73531870856348,52.15542380668211,57.44395787482867,69.29036825892035,85.82843509629355,,64.44698637950457,SD
6239,OULUJOKI,25971.619050338835,62.95924619629013,66.04847019868726,67.4980648716735,73.31043863483839,57.61771929533647,61.94200203677055,62.18084641401684,62.643619161825114,72.68912535078147,75.97920971754883,55.37493014497191,74.13122964299417,68.68883630957703,82.09036220400968,,67.36815001280867,SD
